date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
25/12/23,Joy To The World,Joy to the world the Lord is come,Richard,24016,public domain,,,,,,,,,,,,,,,,,,,,,
25/12/23,O Come All Ye Faithful (Adeste Fideles),O come all ye faithful,Richard,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
31/12/23,Be Free in the Love of God,Be free in the love of God,Ben,1101684,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
31/12/23,Beautiful Saviour,All my days I will sing this song of gladness,Ben,2492216,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
31/12/23,Love Divine,Love divine all loves excelling,Ben,1038991,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
31/12/23,Shout to the Lord,My Jesus my Saviour,Ben,1406918,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
7/1/24,Blessed Be Your Name,Blessed be Your name,Richard,3798438,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
7/1/24,How Great Thou Art,O Lord my God when I in awesome wonder,Richard,14181,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
7/1/24,Jesus Is The Mighty Mighty King,Jesus is the mighty mighty King,Richard,https://colinbuchanan.com.au/collections/kids,,,,,,,,,,,,,,,,,,,,,,
7/1/24,Story Of The Cross,This is the story of the cross,Richard,7134315,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
7/1/24,Way Maker,You are here moving in our midst,Richard,7115744,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
14/01/24,Across The Lands,You're the Word of God the Father,Ben,3709898,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
14/01/24,Be Still,Be still for the presence of the Lord,Ben,120824,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
14/01/24,Cornerstone,My hope is built on nothing less,Ben,6158927,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
14/01/24,I Cannot Tell,I cannot tell why He whom angels worship,Ben,110119,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
14/01/24,Make Way,Make way make way for Christ the King,Ben,121074,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
21/01/24,Behold Our God,Behold our God seated on his throne,Richard,5937510,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
21/01/24,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
21/01/24,Indescribable,From the highest of heights to the depths of the sea,Richard,4403076,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
21/01/24,King Of Kings Majesty,King of kings majesty,Richard,1581778,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
21/01/24,Let My Words Be Few,You are God in heaven,Richard,3040980,reported 19/01/24,,,,,,,,,,,,,,,,,,,,,
28/01/24,Guide Me O Thy Great Redeemer,Guide me O Thou great Redeemer,Ben,1448,public domain,,,,,,,,,,,,,,,,,,,,,
28/01/24,Hear The Call Of The Kingdom,"Hear the call of the Kingdom, lift your eyes to the King.",Ben,4930752,reported 01/02/24,,,,,,,,,,,,,,,,,,,,,
28/01/24,Let My Words Be Few,You are God in heaven,Ben,3040980,reported 01/02/24,,,,,,,,,,,,,,,,,,,,,
28/01/24,O Praise The Name,I cast my mind to Calvary,Ben,7037787,reported 01/02/24,,,,,,,,,,,,,,,,,,,,,
28/01/24,Only By Grace,Only by grace can we enter,Ben,190579,reported 01/02/24,,,,,,,,,,,,,,,,,,,,,
4/2/24,Across The Lands,You're the Word of God the Father,Ben,3709898,reported 15/02/24,,,,,,,,,,,,,,,,,,,,,
4/2/24,All Creatures Of Our God And King,All creatures of our God and King,Ben,2846264,public domain,,,,,,,,,,,,,,,,,,,,,
4/2/24,Be Thou My Vision (Slane),"Be Thou my vision, O Lord of my heart",Ben,3142950,reported 15/02/24,,,,,,,,,,,,,,,,,,,,,
4/2/24,Goodness Of God,I love you Lord,Ben,7117726,reported 15/02/24,,,,,,,,,,,,,,,,,,,,,
11/2/24,All Heaven Declares,All heaven declares,Richard,120556,reported 15/02/24,,,,,,,,,,,,,,,,,,,,,
11/2/24,And Can It Be,And can it be that I should gain,Richard,25280,public domain,,,,,,,,,,,,,,,,,,,,,
11/2/24,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 15/02/24,,,,,,,,,,,,,,,,,,,,,
11/2/24,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Richard,7121852,reported 15/02/24,,,,,,,,,,,,,,,,,,,,,
18/02/24,By Faith,By faith we see the hand of God,Ben,5469291,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
18/02/24,Every Promise,From the breaking of the dawn,Ben,4642105,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
18/02/24,Great is thy faithfulness,"Great is thy faithfulness, O God my Father",Ben,18723,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
18/02/24,Speak O Lord,Speak O Lord as we come to You,Ben,4615235,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
25/02/24,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
25/02/24,My Lighthouse,In my wrestling and in my doubts,Richard,7002032,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
25/02/24,This Is My Song,I remember those melodies,Richard,7190099,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
25/02/24,Thy Word,Thy Word is a lamp unto my feet,Richard,14301,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
3/3/24,"10,000 Reasons","Bless the Lord, O my soul",Richard,6016351,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
3/3/24,Behold Our God,Who has held the oceans in His hands?,Richard,5937510,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
3/3/24,Build Your Kingdom Here,Come set Your rule and reign,Richard,6186078,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
3/3/24,Faithful One,Faithful one so unchanging,Richard,465840,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
3/3/24,Story Of The Cross,This is the story of the cross,Richard,7134315,reported 8/3/24,,,,,,,,,,,,,,,,,,,,,
10/3/24,How Great is Our God,"The splendour of the King, clothed in majesty",Sue,4348399,reported 19/3/24,,,,,,,,,,,,,,,,,,,,,
10/3/24,King of the Ages,King of the ages,Sue,3707663,reported 19/3/24,,,,,,,,,,,,,,,,,,,,,
10/3/24,"Praise to the Lord, the Almighty","Praise to the Lord, the Almighty",Sue,43073,public domain,,,,,,,,,,,,,,,,,,,,,
10/3/24,Psalm 23,The lord's my Shepherd I'll not want,Sue,1585970,reported 19/3/24,,,,,,,,,,,,,,,,,,,,,
17/03/24,All Creatures Of Our God And King,All creatures of our God and King,Ben,2846264,public domain,,,,,,,,,,,,,,,,,,,,,
17/03/24,Refiner's Fire,Purify my heart,Ben,426298,reported 19/3/24,,,,,,,,,,,,,,,,,,,,,
17/03/24,Rejoice the Lord is King,Rejoice the Lord is King,Ben,7125867,reported 19/3/24,,,,,,,,,,,,,,,,,,,,,
17/03/24,The Lion And The Lamb,He's coming on the clouds,Ben,7038281,reported 19/3/24,,,,,,,,,,,,,,,,,,,,,
17/03/24,This Is Amazing Grace,Who breaks the power of sin and darkness,Ben,6333821,reported 19/3/24,,,,,,,,,,,,,,,,,,,,,
24/03/24,All The Glory,My heart is full of admiration,Sue,729555,reported 29/3/24,,,,,,,,,,,,,,,,,,,,,
24/03/24,Hosanna (Praise Is Rising),Praise is rising,Sue,4662491,reported 29/3/24,,,,,,,,,,,,,,,,,,,,,
24/03/24,How Great Thou Art,O Lord my God when I in awesome wonder,Sue,14181,reported 29/3/24,,,,,,,,,,,,,,,,,,,,,
24/03/24,Ride On Ride On In Majesty,Ride On Ride On In Majesty,Sue,2725907,public domain,,,,,,,,,,,,,,,,,,,,,
24/03/24,The Servant King,From heav'n You came helpless babe,Sue,78897,reported 29/3/24,,,,,,,,,,,,,,,,,,,,,
31/03/24,Great Things,Come let us worship our King.,Sue,7111321,reported 6/4/24,,,,,,,,,,,,,,,,,,,,,
31/03/24,Jesus Christ Is Risen Today,Jesus Christ is risen today,Sue,4958088,public domain,,,,,,,,,,,,,,,,,,,,,
31/03/24,Living Hope,How great the chasm that lay between us,Sue,7106807,reported 6/4/24,,,,,,,,,,,,,,,,,,,,,
31/03/24,Saviour of the World,"God so loved, that He gave His son",Sue,5742169,reported 6/4/24,,,,,,,,,,,,,,,,,,,,,
31/03/24,Thine be the glory,Thine be the glory risen conquering son,Sue,21837,public domain,,,,,,,,,,,,,,,,,,,,,
7/4/24,Cornerstone,My hope is built on nothing less,Richard,6158927,reported 17/04/24,,,,,,,,,,,,,,,,,,,,,
7/4/24,Goodness Of God,I love you Lord,Richard,7117726,reported 17/04/24,,,,,,,,,,,,,,,,,,,,,
7/4/24,His Mercy Is More,What love could remember no wrongs we have done,Richard,7065053,reported 17/04/24,,,,,,,,,,,,,,,,,,,,,
7/4/24,Rejoice,"Rejoice, come and lift your hands and raise your voice",Richard,7004663,reported 17/04/24,,,,,,,,,,,,,,,,,,,,,
7/4/24,Story Of The Cross,This is the story of the cross,Richard,7134315,reported 17/04/24,,,,,,,,,,,,,,,,,,,,,
14/04/24,I Stand Amazed,I stand amazed in the presence,Ben,25297,public domain,,,,,,,,,,,,,,,,,,,,,
14/04/24,Salvation's song,Loved before the dawn of time,Ben,5109630,reported 17/04/24,,,,,,,,,,,,,,,,,,,,,
14/04/24,Show us Christ,Prepare our hearts O God,Ben,6169253,reported 17/04/24,,,,,,,,,,,,,,,,,,,,,
14/04/24,This Is Amazing Grace,Who breaks the power of sin and darkness,Ben,6333821,reported 17/04/24,,,,,,,,,,,,,,,,,,,,,
14/04/24,When I Survey The Wondrous Cross,When I survey the wondrous cross,Ben,3296590,public domain,,,,,,,,,,,,,,,,,,,,,
21/04/24,Cornerstone,My hope is built on nothing less,Sue,6158927,reported 02/05/24,,,,,,,,,,,,,,,,,,,,,
21/04/24,I Cannot Tell,I cannot tell why He whom angels worship,Sue,110119,reported 02/05/24,,,,,,,,,,,,,,,,,,,,,
21/04/24,In Christ Alone,In Christ Alone,Sue,3350395,reported 02/05/24,,,,,,,,,,,,,,,,,,,,,
21/04/24,O Praise The Name,I cast my mind to Calvary,Sue,7037787,reported 02/05/24,,,,,,,,,,,,,,,,,,,,,
21/04/24,This I Believe (The Creed),Our Father everlasting,Sue,7018338,reported 02/05/24,,,,,,,,,,,,,,,,,,,,,
28/04/24,Beautiful Saviour,All my days I will sing this song of gladness,Ben,2492216,reported 02/05/24,,,,,,,,,,,,,,,,,,,,,
28/04/24,Come People Of The Risen King,Come people of the Risen King,Ben,5232617,reported 02/05/24,,,,,,,,,,,,,,,,,,,,,
28/04/24,Crown Him With Many Crowns,Crown Him with many crowns,Ben,23938,public domain,,,,,,,,,,,,,,,,,,,,,
28/04/24,Holy Holy Holy,Holy holy holy Lord God Almighty,Ben,1156,public domain,,,,,,,,,,,,,,,,,,,,,
28/04/24,King Of Kings Majesty,King of Kings majesty,Ben,1581778,reported 02/05/24,,,,,,,,,,,,,,,,,,,,,
5/5/24,How Great is Our God,"The splendour of the King, clothed in majesty",Richard,4348399,reported 16/05/24,,,,,,,,,,,,,,,,,,,,,
5/5/24,One Thing Remains (your love never fails),Your love never fails it never gives up,Richard,5508444,reported 16/05/24,,,,,,,,,,,,,,,,,,,,,
5/5/24,The Blessing,The Lord bless you,Richard,7147007,reported 16/05/24,,,,,,,,,,,,,,,,,,,,,
5/5/24,Way Maker,You are here moving in our midst,Richard,7115744,reported 16/05/24,,,,,,,,,,,,,,,,,,,,,
12/5/24,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Sue,3142950,reported 16/05/24,,,,,,,,,,,,,,,,,,,,,
12/5/24,Hear The Call Of The Kingdom,"Hear the call of the Kingdom, lift your eyes to the King.",Sue,4930752,reported 16/05/24,,,,,,,,,,,,,,,,,,,,,
12/5/24,Love Divine,Love divine all loves excelling,Sue,1461324,public domain,,,,,,,,,,,,,,,,,,,,,
12/5/24,O Church Arise,"O Church arise, and put your armour on;",Sue,4611992,reported 16/05/24,,,,,,,,,,,,,,,,,,,,,
12/5/24,The Power of your Love,"Hold me close, let your love surround me",Sue,917491,reported 16/05/24,,,,,,,,,,,,,,,,,,,,,
19/05/24,"10,000 Reasons","Bless the Lord, O my soul",Sue,6016351,reported 23/05/24,,,,,,,,,,,,,,,,,,,,,
19/05/24,"Come, Now is the Time to Worship","Come, now is the time to worship",Sue,2430948,reported 23/05/24,,,,,,,,,,,,,,,,,,,,,
19/05/24,Holy Holy Holy,Holy holy holy Lord God Almighty,Sue,1156,public domain,,,,,,,,,,,,,,,,,,,,,
19/05/24,How Great is Our God,"The splendour of the King, clothed in majesty",Sue,4348399,reported 23/05/24,,,,,,,,,,,,,,,,,,,,,
19/05/24,There Is A Higher Throne,There is a higher throne,Sue,3994672,reported 23/05/24,,,,,,,,,,,,,,,,,,,,,
26/05/04,The Solid Rock,On Christ the solid rock I stand,Richard,25417,public domain,,,,,,,,,,,,,,,,,,,,,
26/05/24,Behold Our God,Who has held the oceans in His hands?,Richard,5937510,reported 7/6/24,,,,,,,,,,,,,,,,,,,,,
26/05/24,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 7/6/24,,,,,,,,,,,,,,,,,,,,,
26/05/24,Crown Him With Many Crowns,Crown Him with many crowns,Richard,23938,public domain,,,,,,,,,,,,,,,,,,,,,
2/6/24,"Come, Now is the Time to Worship","Come, now is the time to worship",Richard,2430948,reported 7/6/24,,,,,,,,,,,,,,,,,,,,,
2/6/24,Thank you God,,Richard,@Richard,,,,,,,,,,,,,,,,,,,,,,
2/6/24,Faithful One,Faithful one so unchanging,Richard,465840,reported 7/6/24,,,,,,,,,,,,,,,,,,,,,
2/6/24,Story Of The Cross,This is the story of the cross,Richard,7134315,reported 7/6/24,,,,,,,,,,,,,,,,,,,,,
2/6/24,Waymaker,You are here moving in our midst,Richard,7115744,reported 7/6/24,,,,,,,,,,,,,,,,,,,,,
9/6/24,Indescribable,From the highest of heights to the depths of the sea,Ben,4403076,reported 20/06/24,,,,,,,,,,,,,,,,,,,,,
9/6/24,You Alone Can Rescue,Who O Lord could save themselves,Ben,5376377,reported 20/06/24,,,,,,,,,,,,,,,,,,,,,
9/6/24,Praise My Soul The King Of Heaven,Praise my soul the King of heaven,Ben,800443,public domain,,,,,,,,,,,,,,,,,,,,,
9/6/24,And Can It Be,And can it be that I should gain,Ben,25280,public domain,,,,,,,,,,,,,,,,,,,,,
16/06/24,Rejoice,"Rejoice, come and lift your hands and raise your voice",Ben,7004663,reported 20/06/24,,,,,,,,,,,,,,,,,,,,,
16/06/24,There Is A Higher Throne,There is a higher throne,Ben,3994672,reported 20/06/24,,,,,,,,,,,,,,,,,,,,,
16/06/24,Blessed Assurance,Blessed assurance Jesus is mine,Ben,2645094,public domain,,,,,,,,,,,,,,,,,,,,,
16/06/24,To God Be The Glory,To God be the glory great things He has done,Ben,23426,public domain,,,,,,,,,,,,,,,,,,,,,
16/06/24,Blessed Be Your Name,Blessed be Your name,Ben,3798438,reported 20/06/24,,,,,,,,,,,,,,,,,,,,,
23/06/24,Great Is The Lord,Great is the Lord and most worthy of praise,Richard,10769,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
23/06/24,Always Enough (You are God),What you choose to give us,Richard,N/A,-,,,,,,,,,,,,,,,,,,,,,
23/06/24,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Richard,7121852,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
23/06/24,Lord For The Years,Lord for the years,Richard,224957,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
23/06/24,Now thank we all our God,Now thank we all our God,Richard,7197414,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
30/06/24,Build Your Kingdom Here,Come set Your rule and reign,Sue,6186078,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
30/06/24,Be Free in the Love of God,Be free in the love of God,Sue,1101684,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
30/06/24,Every Promise,From the breaking of the dawn,Sue,4642105,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
30/06/24,Trinity Hymn,We are heirs of God Almighty,Sue,4001777,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
30/06/24,Everlasting God,Strength will rise as we wait upon the Lord,Sue,4556538,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
7/7/24,Only By Grace,Only by grace can we enter,Richard,190579,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
7/7/24,Amazing Grace,"Amazing grace, how sweet the sound",Richard,2762836,public domain,,,,,,,,,,,,,,,,,,,,,
7/7/24,Shine Jesus Shine,Lord the light of Your love is shining,Richard,30426,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
7/7/24,Always Enough (You are God),What you choose to give us,Richard,N/A,-,,,,,,,,,,,,,,,,,,,,,
7/7/24,In Christ Alone,In Christ alone my hope is found,Richard,3350395,reported 13/07/24,,,,,,,,,,,,,,,,,,,,,
14/07/24,Be Thou My Vision (Slane),"Be Thou my vision, O Lord of my heart",Ben,3142950,reported 18/07/24,,,,,,,,,,,,,,,,,,,,,
14/07/24,We Shall Stand,We shall stand,Ben,30574,reported 18/07/24,,,,,,,,,,,,,,,,,,,,,
14/07/24,Be Still,Be still for the presence of the Lord,Ben,120824,reported 18/07/24,,,,,,,,,,,,,,,,,,,,,
14/07/24,Tell Out My Soul,Tell out my soul the greatness of the Lord,Ben,2402653,reported 18/07/24,,,,,,,,,,,,,,,,,,,,,
21/07/24,Come People Of The Risen King,Come people of the Risen King,Sue,5232617,public domain,,,,,,,,,,,,,,,,,,,,,
21/07/24,Blessed Be Your Name,Blessed be Your name,Sue,3798438,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
21/07/24,Joy Of The Lord,Though the tears may fall my song will rise,Sue,7047091,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
21/07/24,Open The Eyes Of My Heart,Open the eyes of my heart Lord,Sue,2298355,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
21/07/24,I Will Sing The Wondrous Story,I will sing the wondrous story,Sue,2645726,public domain,,,,,,,,,,,,,,,,,,,,,
28/07/24,You Never Let Go,Even though I walk through the valley,Ben,4674166,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
28/07/24,Story Of The Cross,This is the story of the cross,Ben,7134315,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
28/07/24,Christ be our light,"Longing for light, we wait in darkness",Ben,,,,,,,,,,,,,,,,,,,,,,,
28/07/24,Praise My Soul The King Of Heaven,Praise my soul the King of heaven,Ben,800443,public domain,,,,,,,,,,,,,,,,,,,,,
4/8/24,How Great (Psalm 145),I'll bless Your name O God each day that I awake,Richard,7190356,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
4/8/24,Majesty,Here I am,Richard,4219071,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
4/8/24,King Of Kings Majesty,King of Kings majesty,Richard,1581778,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
4/8/24,I Stand Amazed,I stand amazed in the presence,Richard,25297,public domain,,,,,,,,,,,,,,,,,,,,,
11/8/24,King of the Ages,King of the ages,Ben,3707663,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
11/8/24,He Will Hold Me Fast,When I fear my faith will fail,Ben,7016161,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
11/8/24,The Servant King,From heav'n You came helpless babe,Ben,78897,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
11/8/24,Lord For The Years,Lord for the years,Ben,224957,reported 17/08/24,,,,,,,,,,,,,,,,,,,,,
18/08/24,Give me oil,Give me oil in my lamp,Richard,4755580,public domain,,,,,,,,,,,,,,,,,,,,,
18/08/24,Thanksgiving (what shall we do),Enter in His courts with praise,Richard,7199589,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
18/08/24,Majesty,Here I am,Richard,4219071,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
18/08/24,Great is thy faithfulness,"Great is thy faithfulness, O God my Father",Richard,18723,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
18/08/24,Living Hope,How great the chasm that lay between us,Richard,7106807,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
25/08/24,You Never Let Go,Even though I walk through the valley,Sue,4674166,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
25/08/24,Faithful One,Faithful one so unchanging,Sue,465840,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
25/08/24,Rejoice,"Rejoice, come and lift your hands and raise your voice",Sue,7004663,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
25/08/24,Christ Our Hope In Life And Death,Christ our hope in life and death,Sue,7147502,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
25/08/24,"Praise to the Lord, the Almighty","Praise to the Lord, the Almighty",Sue,43073,public domain,,,,,,,,,,,,,,,,,,,,,
1/9/24,Thanksgiving (what shall we do),Enter in His courts with praise,Richard,7199589,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
1/9/24,Behold Our God,Who has held the oceans in His hands?,Richard,5937510,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
1/9/24,Story Of The Cross,This is the story of the cross,Richard,7134315,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
1/9/24,Thank you God,When I get it wrong,Richard,@Richard,,,,,,,,,,,,,,,,,,,,,,
1/9/24,The Blessing,The Lord bless you,Richard,7147007,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
8/9/24,Hope of the Nations,Jesus hope of the nations,Sue,3540703,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
8/9/24,Across The Lands,You're the Word of God the Father,Sue,3709898,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
8/9/24,Every Promise,From the breaking of the dawn,Sue,4642105,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
8/9/24,O Church Arise,"O Church arise, and put your armour on;",Sue,4611992,reported 12/09/24,,,,,,,,,,,,,,,,,,,,,
15/09/24,To God Be The Glory,To God be the glory great things He has done,Ben,23426,public domain,,,,,,,,,,,,,,,,,,,,,
15/09/24,Rejoice,"Rejoice, come and lift your hands and raise your voice",Ben,7004663,reported 20/09/24,,,,,,,,,,,,,,,,,,,,,
15/09/24,Refiner's Fire,Purify my heart,Ben,426298,reported 20/09/24,,,,,,,,,,,,,,,,,,,,,
15/09/24,Blessed Assurance,Blessed assurance Jesus is mine,Ben,2645094,public domain,,,,,,,,,,,,,,,,,,,,,
15/09/24,Build Your Kingdom Here,Come set Your rule and reign,Ben,6186078,reported 20/09/24,,,,,,,,,,,,,,,,,,,,,
22/09/24,Rejoice the Lord is King,Rejoice the Lord is King,Sue,1825142,public domain,,,,,,,,,,,,,,,,,,,,,
22/09/24,"10,000 Reasons","Bless the Lord, O my soul",Sue,6016351,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
22/09/24,Across The Lands,You're the Word of God the Father,Sue,3709898,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
22/09/24,Saviour of the World,"God so loved, that He gave His son",Sue,5742169,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
22/09/24,I Cannot Tell,I cannot tell why He whom angels worship,Sue,110119,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
29/09/24,Waymaker,You are here moving in our midst,Richard,7115744,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
29/09/24,Psalm 23,The lord's my Shepherd I'll not want,Richard,1585970,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
29/09/24,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Richard,7121852,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
29/09/24,Turn Your Eyes Upon Jesus,O soul are you weary and troubled,Richard,15960,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
29/09/24,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Richard,3142950,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
6/10/24,Lord For The Years,Lord for the years,Richard,224957,reported 10/10/24,,,,,,,,,,,,,,,,,,,,,
13/10/24,Praise My Soul The King Of Heaven,Praise my soul the King of heaven,Sue,800443,public domain,,,,,,,,,,,,,,,,,,,,,
13/10/24,Joy Of The Lord,Though the tears may fall my song will rise,Sue,7047091,reported 25/10/23,,,,,,,,,,,,,,,,,,,,,
13/10/24,Turn Your Eyes Upon Jesus,Turn Your Eyes Upon Jesus,Sue,4487205,reported 25/10/23,,,,,,,,,,,,,,,,,,,,,
13/10/24,You have loved me (Father me),You have loved me with such perfect love,Sue,4709866,reported 25/10/23,,,,,,,,,,,,,,,,,,,,,
13/10/24,Rejoice,"Rejoice, come and lift your hands and raise your voice",Sue,7004663,reported 25/10/23,,,,,,,,,,,,,,,,,,,,,
13/10/24,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Sue,30639,Public domain,,,,,,,,,,,,,,,,,,,,,
20/10/24,Forever,Give thanks to the Lord,Ben,3148428,reported 25/10/23,,,,,,,,,,,,,,,,,,,,,
20/10/24,Beautiful Saviour,All my days I will sing this song of gladness,Ben,2492216,reported 25/10/23,,,,,,,,,,,,,,,,,,,,,
20/10/24,Hosanna (Praise Is Rising),Praise is rising,Ben,4662491,reported 25/10/23,,,,,,,,,,,,,,,,,,,,,
20/10/24,Christ be our light,"Longing for light, we wait in darkness",Ben,?,,,,,,,,,,,,,,,,,,,,,,
20/10/24,Guide Me O Thy Great Redeemer,Guide me O Thou great Redeemer,Ben,1448,Public domain,,,,,,,,,,,,,,,,,,,,,
27/10/24,Holy Holy Holy,Holy holy holy Lord God Almighty,Sue,1156,Public domain,,,,,,,,,,,,,,,,,,,,,
27/10/24,His Mercy Is More,What love could remember no wrongs we have done,Sue,7065053,reported 7/11/24,,,,,,,,,,,,,,,,,,,,,
27/10/24,Christ Our Hope In Life And Death,Christ our hope in life and death,Sue,7147502,reported 7/11/24,,,,,,,,,,,,,,,,,,,,,
27/10/24,King of the Ages,King of the ages,Sue,3707663,reported 7/11/24,,,,,,,,,,,,,,,,,,,,,
27/10/24,Alleluia Sing To Jesus,Alleluia sing to Jesus,Sue,3255892,reported 7/11/24,,,,,,,,,,,,,,,,,,,,,
3/11/24,Give Thanks,Give thanks with a grateful heart,Richard,20285,reported 7/11/24,,,,,,,,,,,,,,,,,,,,,
3/11/24,Alleluia Praise the Lord,Allelu Allelu Alleu Alleluia,Richard,217751,reported 7/11/24,,,,,,,,,,,,,,,,,,,,,
3/11/24,Blessed be the name,Blessed be your name,Richard,3798438,reported 7/11/24,,,,,,,,,,,,,,,,,,,,,
3/11/24,O Lord my God,O Lord my God when I in awesome wonder,Richard,7195204,reported 7/11/24,,,,,,,,,,,,,,,,,,,,,
10/11/24,O God be all praising,O God be all praising we worship you today,Sue,649532,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
10/11/24,Apostle's Creed,I believe in God the Father,Sue,4001650,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
10/11/24,Every Promise,From the breaking of the dawn,Sue,4642105,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
10/11/24,Remembrance Hymn,O Lord we look upon the past,Sue,7120048,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
10/11/24,O Church Arise,"O Church arise, and put your armour on;",Sue,4611992,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
17/11/24,Rejoice the Lord is King,Rejoice the Lord is King,Ben,7125867,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
17/11/24,King Of Kings Majesty,King of Kings majesty,Ben,1581778,reported 21/11/24,,,,,,,,,,,,,,,,,,,,,
