date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
24/04/22,Lord Reign In Me,Over all the earth,Sue,2490706,reported 28/4/22,,,,,,,,,,,,,,,,,,,,,
1/5/22,Fully God Fully Man,Fully God fully man,Mary,4763132,reported 13/5/22,,,,,,,,,,,,,,,,,,,,,
1/5/22,How Great is Our God,"The splendour of the King, clothed in majesty",Mary,4348399,reported 13/5/22,,,,,,,,,,,,,,,,,,,,,
1/5/22,Our God,Water you turned into wine,Mary,5677416,reported 13/5/22,,,,,,,,,,,,,,,,,,,,,
1/5/22,This Is Amazing Grace,Who breaks the power of sin and darkness,Mary,6333821,reported 13/5/22,,,,,,,,,,,,,,,,,,,,,
8/5/22,Amazing Grace,"Amazing grace, how sweet the sound",Mary,2762836,public domain,,,,,,,,,,,,,,,,,,,,,
8/5/22,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Mary,3142950,reported 13/5/22,,,,,,,,,,,,,,,,,,,,,
8/5/22,By Faith,By faith we see the hand of God,Mary,5469291,reported 13/5/22,,,,,,,,,,,,,,,,,,,,,
8/5/22,Come People Of The Risen King,Come people of the Risen King,Mary,5232617,reported 13/5/22,,,,,,,,,,,,,,,,,,,,,
8/5/22,Open The Eyes Of My Heart,Open the eyes of my heart Lord,Mary,2298355,reported 13/5/22,,,,,,,,,,,,,,,,,,,,,
15/05/22,Goodness Of God,I love you Lord,Chris,7117726,reported 24/5/22,,,,,,,,,,,,,,,,,,,,,
15/05/22,King Of Kings Majesty,King of kings majesty,Chris,1581778,reported 24/5/22,,,,,,,,,,,,,,,,,,,,,
15/05/22,Psalm 23,The Lord's my Shepherd I'll not want,Chris,1585970,reported 24/5/22,,,,,,,,,,,,,,,,,,,,,
15/05/22,The King Has Come,The King of love is my delight,Chris,2295729,reported 24/5/22,,,,,,,,,,,,,,,,,,,,,
22/05/22,Hear The Call Of The Kingdom,"Hear the call of the Kingdom, lift your eyes to the King.",Sue,4930752,reported 24/5/22,,,,,,,,,,,,,,,,,,,,,
